company_name,company_description,industry,size,region
Boogle_000,"Cloud-native analytics for hospitals. Focus on HIPAA-compliant data pipelines. Integrates with Epic, Cerner, and cloud EMR systems. Provides MLOps and clinical analytics. Used by 200 hospitals for patient data management. Integrates with Rockwell, Epic.",healthcare,enterprise,LATAM
Grab_001,"Real-time transaction monitoring using ML. Fraud detection and risk scoring for payments. Works with Plaid, Stripe, and PayPal. Processes $50M/month in transactions. Integrates with banking APIs. Works with Firebase, Epic.",fintech,enterprise,EMEA
EnergyGrid_002,"Integrates with Shopify, Magento, and AWS. Real-time inventory forecasting. Used by 500+ e-commerce stores. Personalization and recommendations.",retail,SMB,CIS
IoTAnalytics_003,"Edge-device data aggregation. Industrial IoT analytics for predictive maintenance. Works with Azure IoT, AWS IoT Core.",iot,SMB,CIS
BRACK_004,Automated feedback generation. Used by 50 universities. Integrates with Canvas and Moodle LMS. Student performance modeling using AI.,edtech,SMB,Global
Megasoft_005,Works with Salesforce and SharePoint. Integrates with document management systems. AI-powered document review and contract analysis. Automates e-discovery and compliance checks.,legal,SMB,LATAM
Medlytics_006,"Energy grid intelligence for load forecasting. Integrates sensor data for predictive maintenance. Used by national utilities. Outage prediction and distributed resource optimization. Works with LabWare, Magento, Moodle LMS.",energy,enterprise,APAC
Petronas_007,"AI-powered route planning for fleets. Smart city traffic optimization and congestion prediction. Public transit analytics using real-time data. Used by city municipalities. Integrates with LabWare, Shopify, Google Maps API.",transportation,SMB,LATAM
Petronas_008,"Clinical trial analytics and regulatory compliance. Drug discovery and molecular analysis using AI. Works with LabWare, AWS, and Azure. Automated lab workflows and predictive modeling. Works with LabWare.",pharma,SMB,NA
Retailio_009,"Predictive maintenance and quality control. Used by 100 factories worldwide. Integrates with Siemens, Rockwell, and cloud platforms.",manufacturing,startup,APAC
Maxis_010,"Behavioral authentication and anomaly monitoring. Works with Splunk, AWS, and Azure Security. Used by 150+ enterprises for cybersecurity.",cybersecurity,SMB,Global
TelekomMalaysia_011,"Resume parsing and automated interview scheduling AI-powered talent acquisition and resume screening platform. Employee engagement dashboards and AI-driven feedback Workforce planning and automated HR analytics dashboards. Works with Salesforce, Epic, Magento.",hrm,startup,LATAM
Boogle_012,Provides MLOps and clinical analytics. Used by 200 hospitals for patient data management. Focus on HIPAA-compliant data pipelines.,healthcare,enterprise,Global
PayCheckAI_013,"Real-time transaction monitoring using ML. Fraud detection and risk scoring for payments. Works with Plaid, Stripe, and PayPal. Integrates with banking APIs. Works with Azure IoT.",fintech,startup,NA
Maxis_014,"Real-time inventory forecasting. Used by 500+ e-commerce stores. Customer analytics across channels. Integrates with Shopify, Magento, and AWS. Works with SharePoint, PayPal, BambooHR.",retail,enterprise,CIS
FinSight_015,"Sensor anomaly detection and fleet monitoring. Edge-device data aggregation. Industrial IoT analytics for predictive maintenance. Used by 100 factories worldwide. Integrates with Google Maps API, SCADA.",iot,startup,APAC
LearnSmart_016,"Adaptive learning platform for K-12 and higher ed. Student performance modeling using AI. Integrates with Canvas and Moodle LMS. Used by 50 universities. Integrates with Plaid, Moodle LMS, LabWare.",edtech,SMB,Global
ShopSense_017,"Works with Salesforce and SharePoint. Automates e-discovery and compliance checks. AI-powered document review and contract analysis. Integrates with document management systems. Integrates with Google Maps API, AWS, Canvas.",legal,SMB,APAC
IoTAnalytics_018,Outage prediction and distributed resource optimization. Used by national utilities. Energy grid intelligence for load forecasting. Integrates sensor data for predictive maintenance.,energy,startup,EMEA
TelekomMalaysia_019,"Integrates with Google Maps API and AWS IoT. Used by city municipalities. Smart city traffic optimization and congestion prediction. Integrates with LabWare, Plaid, SharePoint.",transportation,SMB,NA
FinSight_020,"Drug discovery and molecular analysis using AI. Works with LabWare, AWS, and Azure. Used by 50 pharmaceutical companies. Automated lab workflows and predictive modeling. Integrates with Plaid.",pharma,SMB,EMEA
Uthao_021,"Predictive maintenance and quality control. Used by 100 factories worldwide. AI-powered production optimization. Integrates with Plaid, Shopify.",manufacturing,enterprise,APAC
FinSight_022,"AI-driven threat detection and incident response. Integrates with SIEM and cloud security tools. Used by 150+ enterprises for cybersecurity. Integrates with SharePoint, Plaid, AWS.",cybersecurity,startup,CIS
ShopSense_023,Resume parsing and automated interview scheduling Predictive attrition analytics for enterprises Workforce planning and automated HR analytics dashboards. Employee engagement dashboards and AI-driven feedback Employee performance tracking and predictive attrition modeling. Integrates with SharePoint.,hrm,startup,Global
TelekomMalaysia_024,Used by 200 hospitals for patient data management. Focus on HIPAA-compliant data pipelines. Cloud-native analytics for hospitals.,healthcare,SMB,EMEA
TelekomMalaysia_025,"Works with Plaid, Stripe, and PayPal. Fraud detection and risk scoring for payments. Processes $50M/month in transactions. Works with cloud EMR systems, Epic, Workday.",fintech,startup,APAC
Petronas_026,"Used by 500+ e-commerce stores. Real-time inventory forecasting. Personalization and recommendations. Integrates with Shopify, Magento, and AWS.",retail,startup,APAC
Maxis_027,"Works with Azure IoT, AWS IoT Core. Edge-device data aggregation. Industrial IoT analytics for predictive maintenance. Integrates with SAP SuccessFactors, LabWare, Firebase.",iot,enterprise,EMEA
Megasoft_028,Used by 50 universities. Student performance modeling using AI. Adaptive learning platform for K-12 and higher ed. Automated feedback generation.,edtech,enterprise,APAC
ShopSense_029,Works with Salesforce and SharePoint. Used by 100+ law firms. AI-powered document review and contract analysis. Automates e-discovery and compliance checks.,legal,SMB,CIS
Medlytics_030,Integrates sensor data for predictive maintenance. Outage prediction and distributed resource optimization. Works with SCADA and AWS IoT. Integrates with Rockwell.,energy,startup,EMEA
HealthAI_031,Public transit analytics using real-time data. AI-powered route planning for fleets. Used by city municipalities. Works with AWS IoT Core.,transportation,SMB,Global
HealthAI_032,"Used by 50 pharmaceutical companies. Clinical trial analytics and regulatory compliance. Works with LabWare, AWS, and Azure.",pharma,startup,NA
Retailio_033,"Edge-device monitoring and factory automation. AI-powered production optimization. Integrates with Siemens, Rockwell, and cloud platforms. Predictive maintenance and quality control. Used by 100 factories worldwide. Integrates with cloud EMR systems, Plaid, Rockwell.",manufacturing,enterprise,CIS
LearnSmart_034,"Behavioral authentication and anomaly monitoring. Integrates with SIEM and cloud security tools. Works with Splunk, AWS, and Azure Security. Integrates with Workday, Canvas, Moodle LMS.",cybersecurity,enterprise,EMEA
ShopSense_035,"AI-powered talent acquisition and resume screening platform. Integrates with Workday, SAP SuccessFactors, and BambooHR. Resume parsing and automated interview scheduling Workforce planning and automated HR analytics dashboards. Predictive attrition analytics for enterprises Works with Magento, Moodle LMS.",hrm,SMB,LATAM
Megasoft_036,"Used by 200 hospitals for patient data management. Provides MLOps and clinical analytics. Focus on HIPAA-compliant data pipelines. Integrates with Epic, Cerner, and cloud EMR systems. Works with Azure IoT, AWS, Magento.",healthcare,SMB,Global
ShopSense_037,Real-time transaction monitoring using ML. Processes $50M/month in transactions. Integrates with banking APIs.,fintech,startup,EMEA
Maxis_038,"Integrates with Shopify, Magento, and AWS. Real-time inventory forecasting. Used by 500+ e-commerce stores. Works with Canvas, SCADA, Salesforce.",retail,startup,EMEA
LearnSmart_039,Edge-device data aggregation. Industrial IoT analytics for predictive maintenance. Used by 100 factories worldwide.,iot,enterprise,Global
Boogle_040,Integrates with Canvas and Moodle LMS. Automated feedback generation. Used by 50 universities.,edtech,SMB,NA
IoTAnalytics_041,"Used by 100+ law firms. Integrates with document management systems. Automates e-discovery and compliance checks. Works with Salesforce and SharePoint. Integrates with Shopify, LabWare.",legal,startup,APAC
PayCheckAI_042,"Used by national utilities. Works with SCADA and AWS IoT. Integrates sensor data for predictive maintenance. Works with Google Maps API, Epic.",energy,enterprise,LATAM
LegalEye_043,"AI-powered route planning for fleets. Smart city traffic optimization and congestion prediction. Public transit analytics using real-time data. Used by city municipalities. Works with Moodle LMS, AWS, PayPal.",transportation,startup,CIS
