company_size,industry,tech_stack_keywords,page_visits,intent_signal,historical_conversion_rate,converted
861,Finance,"SQL, NodeJS",78,0.28,0.06,1
3773,Finance,Python,4,0.44,0.67,0
3093,Tech,"NodeJS, AWS, Python",9,0.09,0.41,0
467,Health,Python,25,0.89,0.49,1
4427,Finance,"SQL, NodeJS",47,0.51,0.34,1
3445,Health,"SQL, AWS",99,0.73,0.25,1
3172,Education,"AWS, Java, SQL",49,0.23,0.36,1
2920,Retail,AWS,27,0.5,0.19,0
131,Retail,"NodeJS, SQL, Java",28,0.21,0.68,1
1686,Retail,NodeJS,88,0.82,0.1,1
770,Health,"SQL, Java",97,0.78,0.52,1
2392,Health,"Kotlin, AWS, Java",97,0.15,0.48,1
2434,Tech,"NodeJS, AWS",62,0.07,0.3,1
1185,Retail,"SQL, React, Kotlin",16,0.82,0.1,0
4556,Tech,"NodeJS, SQL, React",87,0.11,0.7,1
3386,Retail,NodeJS,46,0.55,0.57,1
4118,Tech,"Python, Kotlin, AWS",75,0.53,0.81,1
4844,Tech,Kotlin,46,0.2,0.24,0
2905,Education,NodeJS,40,0.59,0.79,1
475,Tech,SQL,83,0.5,0.29,1
1083,Health,"SQL, AWS, Python",34,0.51,0.11,0
2559,Tech,"Python, Kotlin",87,0.36,0.13,1
2048,Retail,"AWS, NodeJS",10,0.84,0.22,0
2748,Tech,"AWS, SQL, NodeJS",1,0.08,0.68,0
976,Finance,"Java, Python",66,0.44,0.24,1
1807,Retail,React,86,0.26,0.6,1
190,Finance,NodeJS,17,0.85,0.26,1
2735,Retail,Kotlin,47,0.23,0.37,1
3006,Health,"Kotlin, NodeJS, Java",24,0.77,0.89,1
4659,Health,"React, SQL",50,0.61,0.5,1
1900,Health,"Kotlin, NodeJS",85,0.87,0.6,1
1268,Finance,"React, SQL, Java",29,0.59,0.19,0
1529,Education,"Python, AWS, SQL",78,0.56,0.13,1
3203,Retail,"React, Java",72,0.8,0.41,1
3557,Health,React,94,0.56,0.86,1
3891,Retail,"Java, React, AWS",86,0.84,0.24,1
647,Finance,"SQL, AWS",87,0.05,0.62,1
2889,Education,Java,13,0.5,0.87,1
2436,Finance,"AWS, Java, React",64,0.81,0.93,1
601,Retail,React,28,0.85,0.99,1
2364,Education,"Kotlin, SQL",94,0.83,0.76,1
2062,Education,"React, NodeJS",5,0.6,0.08,0
242,Finance,"React, SQL",74,0.99,0.87,1
2042,Health,"SQL, Kotlin",9,0.18,0.89,0
2825,Retail,SQL,14,0.17,0.56,0
2613,Tech,Python,10,0.03,0.07,0
1364,Tech,React,33,0.99,0.48,1
1479,Finance,"React, NodeJS, SQL",75,0.35,0.21,1
2557,Retail,"Python, React",40,0.76,0.44,1
776,Retail,React,6,0.06,0.72,0
4015,Finance,Python,17,0.3,0.67,0
35,Retail,"Kotlin, NodeJS, AWS",36,0.62,0.78,1
3153,Health,"Java, NodeJS",70,0.52,0.48,1
1956,Finance,"Python, AWS, Java",61,0.21,0.51,1
1586,Health,"AWS, Kotlin",74,0.46,0.94,1
3944,Retail,Kotlin,49,0.11,0.63,1
3074,Finance,"Python, NodeJS, AWS",69,0.54,0.75,1
1022,Retail,"Java, Kotlin, Python",83,0.1,0.66,1
3462,Finance,"React, NodeJS",71,0.64,0.64,1
2614,Retail,AWS,24,0.16,0.91,1
3844,Health,NodeJS,51,0.55,0.36,1
1501,Health,"AWS, Python, React",42,0.13,0.43,0
4799,Retail,SQL,19,0.4,0.38,0
162,Finance,"SQL, Kotlin",62,0.35,0.77,1
4298,Tech,SQL,75,0.76,0.87,1
1982,Health,"React, SQL",67,0.64,0.36,1
996,Health,Kotlin,30,0.94,0.14,1
4912,Tech,"Java, Python",38,0.92,0.49,1
3343,Retail,"AWS, Python, React",6,0.72,0.98,1
4552,Finance,"AWS, Python",99,0.77,0.2,1
3799,Retail,"AWS, NodeJS, SQL",22,0.62,0.45,1
1276,Education,"Kotlin, React, AWS",11,0.69,0.27,0
1017,Health,Java,72,0.62,0.92,1
338,Education,"React, Kotlin",91,0.31,0.55,1
879,Health,"NodeJS, Python",29,0.35,0.58,1
1077,Health,"NodeJS, React",8,0.57,0.01,0
4888,Education,"SQL, NodeJS, React",87,0.72,0.65,1
3994,Education,"Python, SQL, Kotlin",93,0.41,0.31,1
4860,Retail,Kotlin,80,0.14,0.51,1
380,Education,"React, NodeJS, Kotlin",35,0.46,0.53,1
493,Retail,SQL,72,0.96,0.59,1
2063,Retail,"AWS, SQL",72,0.21,0.82,1
3885,Retail,"SQL, NodeJS, Java",45,0.65,0.3,1
65,Health,"Python, SQL, React",33,0.98,0.26,1
2569,Health,"React, AWS, Python",5,0.38,0.8,0
